time;e1;e2;e3;e4;e5;e6;e7;e8
0.00001;2.842302;2.599342;2.539547;2.420449;2.885506;2.029153;2.034738;2.026196
0.00101;2.841809;2.600656;2.539054;2.420285;2.885177;2.029153;2.034902;2.025867
0.00201;2.842138;2.597371;2.539875;2.420285;2.885177;2.029317;2.034902;2.02636
0.00301;2.841809;2.597699;2.538725;2.419792;2.884849;2.028824;2.034574;2.025867
0.00401;2.842631;2.599999;2.539382;2.42012;2.885013;2.028988;2.035066;2.026031
0.00501;2.843123;2.60197;2.539711;2.420778;2.886163;2.029645;2.035723;2.026853
0.00601;2.841973;2.597042;2.539218;2.42012;2.885342;2.02866;2.035231;2.026196
0.00701;2.842631;2.599178;2.539382;2.420449;2.885013;2.029317;2.035395;2.026524
0.00801;2.841973;2.600985;2.538397;2.419956;2.885013;2.028824;2.034738;2.025867
0.00901;2.842466;2.602299;2.539382;2.420449;2.885506;2.029153;2.035231;2.026688
0.01001;2.841481;2.592443;2.538561;2.419956;2.885013;2.028824;2.034738;2.026031
0.01101;2.841481;2.595071;2.538725;2.42012;2.885013;2.028824;2.034738;2.025539
0.01201;2.842302;2.597699;2.539382;2.420449;2.88567;2.029317;2.035066;2.02636
0.01301;2.841316;2.597371;2.539054;2.42012;2.885342;2.02866;2.034738;2.026031
0.01401;2.841973;2.597371;2.539382;2.42012;2.885177;2.029153;2.034738;2.026031
0.01501;2.841645;2.599342;2.539054;2.42012;2.884849;2.028495;2.034574;2.025539
0.01601;2.841481;2.601642;2.539054;2.42012;2.885342;2.029317;2.034902;2.026196
0.01701;2.841152;2.602135;2.539382;2.42012;2.885342;2.028824;2.034738;2.026031
0.01801;2.840495;2.595071;2.538725;2.419628;2.884685;2.028495;2.034245;2.02521
0.01901;2.841645;2.598192;2.539054;2.42012;2.885342;2.028988;2.034738;2.026031
0.02001;2.841645;2.599506;2.538397;2.42012;2.884849;2.028988;2.034409;2.026031
0.02101;2.841809;2.600163;2.538725;2.42012;2.885013;2.029153;2.034409;2.026031
0.02201;2.841152;2.596878;2.537904;2.42012;2.885177;2.02866;2.034245;2.025867
0.02301;2.841645;2.599506;2.539054;2.42012;2.885177;2.029153;2.034574;2.02636
0.02401;2.841481;2.60082;2.538561;2.420285;2.885342;2.029317;2.034409;2.026196
0.02501;2.840824;2.597864;2.538397;2.419135;2.884685;2.02866;2.033752;2.025374
0.02601;2.842138;2.597535;2.539054;2.420285;2.885013;2.029153;2.034245;2.025867
0.02701;2.841316;2.599342;2.539054;2.42012;2.885342;2.02866;2.034081;2.025867
0.02801;2.841809;2.60082;2.539382;2.420285;2.885342;2.029317;2.034245;2.026031
0.02901;2.841809;2.596878;2.538725;2.419792;2.885013;2.028988;2.033424;2.025867
0.03001;2.842631;2.599342;2.538561;2.420285;2.885506;2.029317;2.033916;2.026031
0.03101;2.842466;2.601478;2.539218;2.420613;2.885834;2.029645;2.034081;2.02636
0.03201;2.841152;2.602135;2.538725;2.419628;2.884685;2.02866;2.033095;2.025374
0.03301;2.842138;2.596549;2.538397;2.42012;2.885506;2.029481;2.033424;2.025867
0.03401;2.841645;2.599013;2.538725;2.419956;2.885342;2.029317;2.033424;2.025867
0.03501;2.841645;2.600985;2.539382;2.420285;2.885342;2.029481;2.033424;2.026196
0.03601;2.841316;2.601806;2.538397;2.419628;2.884685;2.029153;2.032931;2.025539
0.03701;2.841316;2.595071;2.538561;2.419956;2.885013;2.02981;2.033095;2.025867
0.03801;2.841809;2.597699;2.539054;2.420778;2.88567;2.030302;2.033752;2.026688
0.03901;2.841152;2.598849;2.538232;2.419792;2.885013;2.029153;2.032931;2.026031
0.04001;2.841152;2.599999;2.538232;2.419792;2.885013;2.029645;2.032931;2.025867
